data;selic;ipca;dolar
2010-01-01;8.65;4.59;1.8748
2010-02-01;8.65;4.83;1.811
2010-03-01;8.65;5.17;1.781
2010-04-01;8.72;5.26;1.7306
2010-05-01;9.4;5.22;1.8167
2010-06-01;9.94;4.84;1.8015
2010-07-01;10.32;4.6;1.7572
2010-08-01;10.66;4.49;1.756
2010-09-01;10.66;4.7;1.6942
2010-10-01;10.66;5.2;1.7014
2010-11-01;10.66;5.63;1.7161
2010-12-01;10.66;5.91;1.6662
2011-01-01;10.85;5.99;1.6734
2011-02-01;11.17;6.01;1.6612
2011-03-01;11.62;6.3;1.6287
2011-04-01;11.74;6.51;1.5733
2011-05-01;11.92;6.55;1.5799
2011-06-01;12.1;6.71;1.5611
2011-07-01;12.25;6.87;1.5563
2011-08-01;12.42;7.23;1.5872
2011-09-01;11.91;7.31;1.8544
2011-10-01;11.7;6.97;1.6885
2011-11-01;11.4;6.64;1.8109
2011-12-01;10.9;6.5;1.8758
2012-01-01;10.7;6.22;1.7391
2012-02-01;10.4;5.85;1.7092
2012-03-01;9.82;5.24;1.8221
2012-04-01;9.35;5.1;1.8918
2012-05-01;8.87;4.99;2.0223
2012-06-01;8.39;4.92;2.0213
2012-07-01;8.07;5.2;2.0499
2012-08-01;7.85;5.24;2.0372
2012-09-01;7.39;5.28;2.0306
2012-10-01;7.23;5.45;2.0313
2012-11-01;7.14;5.53;2.1074
2012-12-01;7.16;5.84;2.0435
2013-01-01;7.11;6.15;1.9883
2013-02-01;7.12;6.31;1.9754
2013-03-01;7.15;6.59;2.0138
2013-04-01;7.26;6.49;2.0017
2013-05-01;7.42;6.5;2.1319
2013-06-01;7.9;6.7;2.2156
2013-07-01;8.23;6.27;2.2903
2013-08-01;8.45;6.09;2.3725
2013-09-01;8.9;5.86;2.23
2013-10-01;9.25;5.84;2.2026
2013-11-01;9.45;5.77;2.3249
2013-12-01;9.9;5.91;2.3426
2014-01-01;10.17;5.59;2.4263
2014-02-01;10.43;5.68;2.3334
2014-03-01;10.65;6.15;2.263
2014-04-01;10.87;6.28;2.236
2014-05-01;10.9;6.37;2.239
2014-06-01;10.9;6.52;2.2025
2014-07-01;10.9;6.5;2.2674
2014-08-01;10.9;6.51;2.2396
2014-09-01;10.9;6.75;2.451
2014-10-01;10.92;6.59;2.4442
2014-11-01;11.15;6.56;2.5601
2014-12-01;11.58;6.41;2.6562
2015-01-01;11.82;7.14;2.6623
2015-02-01;12.15;7.7;2.8782
2015-03-01;12.58;8.13;3.208
